    response = get_response(request)
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
TypeError: index() missing 1 required positional argument: 'recipe_id'
ERROR 2024-02-24 04:25:24,164 basehttp 20988 18280 "GET / HTTP/1.1" 500 70275
INFO 2024-02-24 04:25:48,321 autoreload 21100 23964 Watching for file changes with StatReloader
INFO 2024-02-24 04:25:52,354 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:25:56,794 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:25:58,416 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:25:59,862 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:26:00,937 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:26:02,704 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:27:01,532 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:27:02,393 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:27:03,059 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:27:03,736 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:27:04,393 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:27:05,240 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:27:05,977 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:27:06,673 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:27:07,456 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:27:08,209 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:27:08,921 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:27:09,705 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:27:10,558 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:27:11,528 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:27:12,410 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:27:13,462 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 04:27:14,938 basehttp 21100 18860 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 14:21:24,331 autoreload 17748 5100 Watching for file changes with StatReloader
INFO 2024-02-24 14:21:32,663 basehttp 17748 1820 "GET / HTTP/1.1" 200 594
WARNING 2024-02-24 14:21:33,467 log 17748 1820 Not Found: /favicon.ico
WARNING 2024-02-24 14:21:33,467 basehttp 17748 1820 "GET /favicon.ico HTTP/1.1" 404 2596
INFO 2024-02-24 14:21:35,741 basehttp 17748 1820 "GET / HTTP/1.1" 200 594
INFO 2024-02-24 14:21:54,940 basehttp 17748 1820 "GET /recipe/3 HTTP/1.1" 200 2548
INFO 2024-02-24 14:22:04,234 basehttp 17748 1820 "GET /recipe/5 HTTP/1.1" 200 2395
INFO 2024-02-24 14:22:38,137 basehttp 17748 1820 "GET /recipe/5 HTTP/1.1" 200 2456
INFO 2024-02-24 14:23:14,577 basehttp 17748 1820 "GET /recipe/5 HTTP/1.1" 200 2481
INFO 2024-02-24 14:23:51,783 autoreload 17748 5100 I:\Python разработка\Тех.специализация python\Итоговая аттестация\RecipeSite\recipesiteapp\models.py changed, reloading.
INFO 2024-02-24 14:23:52,574 autoreload 2340 8740 Watching for file changes with StatReloader
INFO 2024-02-24 14:23:52,873 basehttp 2340 3504 "GET /recipe/5 HTTP/1.1" 200 2453
INFO 2024-02-24 14:31:50,575 basehttp 2340 8728 "GET /recipe/5 HTTP/1.1" 200 2440
INFO 2024-02-24 14:32:21,053 autoreload 2340 8740 I:\Python разработка\Тех.специализация python\Итоговая аттестация\RecipeSite\recipesiteapp\models.py changed, reloading.
INFO 2024-02-24 14:32:21,752 autoreload 19384 17356 Watching for file changes with StatReloader
ERROR 2024-02-24 14:32:25,388 log 19384 13628 Internal Server Error: /recipe/5
Traceback (most recent call last):
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
